Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December,2013,2014,2015,Calamari,Fish,Shrimp,Chicken,Koefte,Lamb,Steak,Total Fish Production,Total Meat Production,Total,Wind,Cloudiness,Precipitation,Sun,Air Temperature,Is Holiday,Weekend,Is Weekday
2013-10-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,6,12,40,23,50,36,24,149,173,1.916666667,7.666666667,0.1,150,15.85833333,0,0,1
2013-10-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,8,5,44,36,37,30,21,147,168,2.738461538,6.923076923,10.7,0,13.19230769,0,1,0
2013-10-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,5,11,19,12,22,16,22,69,91,1.364285714,8.0,0.4,0,10.57142857,0,1,0
2013-10-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,4,2,28,13,28,22,10,91,101,2.316666667,6.416666667,0.0,176,13.33333333,0,0,1
2013-10-08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,4,9,22,18,29,29,20,98,118,1.658333333,8.0,0.0,0,13.54166667,0,0,1
2013-10-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,4,11,33,23,23,37,22,116,138,2.083333333,7.666666667,0.0,17,14.025,0,0,1
2013-10-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,7,3,39,27,31,22,13,119,132,2.983333333,6.75,4.3,0,7.058333333,0,0,1
2013-10-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,3,10,35,18,38,37,18,128,146,1.641666667,5.583333333,1.3,70,7.225,0,0,1
2013-10-12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,13,10,71,46,45,35,28,197,225,1.461538462,7.153846154,0.3,85,4.992307692,0,1,0
2013-10-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,32,12,29,18,8,91,99,2.057142857,4.285714286,0.0,244,9.357142857,0,1,0
2013-10-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,5,20,18,26,19,10,83,93,3.008333333,7.666666667,0.8,68,13.425,0,0,1
